start,end,Healthy,Care,Death
0,4,0.7975192338913006,0.1841660125237414,0.018314753584957943
5,9,0.7877089717378915,0.19992985401839927,0.012361174243709184
10,14,0.8213817807948709,0.1659942441317162,0.012623975073412843
15,19,0.8657947154463171,0.13217346510578992,0.0020318194478929157
20,24,0.8498807773762063,0.1311730397946938,0.018946182829099996
25,29,0.7836407867292432,0.16393714512767468,0.05242206814308212
30,34,0.772095251516237,0.18065442024448947,0.04725032823927353
35,39,0.7468001536503132,0.20188809687241024,0.05131174947727654
40,44,0.7121872549407998,0.2371336498917214,0.050679095167478795
45,49,0.6616671150575283,0.2796955886933184,0.05863729624915337
50,54,0.591621583547696,0.33415975229593653,0.0742186641563675
55,59,0.48672763538253183,0.38681414266584135,0.12645822195162681
60,64,0.35869003147364964,0.42224940648278053,0.2190605620435698
65,69,0.27656337403258235,0.4690826727523319,0.25435395321508575
70,74,0.18082649055881586,0.46710667033700326,0.3520668391041809
75,79,0.11403384832340514,0.40989466118266116,0.47607149049393366
80,84,0.07276527564716,0.30137067045239263,0.6258640539004474
