start,end,Healthy,Care,Death
0,4,0.8401426306286693,0.14548189247335103,0.014375476897979607
5,9,0.8088472896796892,0.16962855269345645,0.02152415762685434
10,14,0.8182630412873038,0.16541980959503266,0.01631714911766348
15,19,0.8598979371429515,0.13429362562147842,0.005808437235570079
20,24,0.8467171675432862,0.1467291374130504,0.006553695043663425
25,29,0.7851474843584227,0.19011264942490078,0.024739866216676502
30,34,0.7654163206217683,0.20676616881699747,0.027817510561234122
35,39,0.7336598554264236,0.23442459061786147,0.03191555395571488
40,44,0.7050620511188435,0.2646926426839118,0.030245306197244828
45,49,0.644227880581022,0.3144813574377869,0.04129076198119111
50,54,0.5627882906307293,0.3886896018913367,0.04852210747793393
55,59,0.4722740276211734,0.45833776477596516,0.06938820760286145
60,64,0.38737368506255576,0.516628139684115,0.09599817525332917
65,69,0.29884451170975074,0.5547845434235972,0.14637094486665214
70,74,0.20277747451043993,0.5368035172101183,0.26041900827944175
75,79,0.14135861405701686,0.5032063452004745,0.35543504074250876
80,84,0.09679057942692351,0.41702533258030605,0.48618408799277046
