start,end,Healthy,Care,Death
0,4,0.8255327512260902,0.1609296307687276,0.013537618005182182
5,9,0.7957157536939825,0.1804359979724243,0.023848248333593176
10,14,0.8323053118187838,0.1556006627772812,0.012094025403935059
15,19,0.8635846833380927,0.12749526527110178,0.008920051390805575
20,24,0.8473776580428362,0.13867845091472142,0.013943891042442333
25,29,0.7828744757713856,0.17405755276514592,0.043067971463468475
30,34,0.7615449410105721,0.1948421850461141,0.043612873943313764
35,39,0.7500666346152908,0.2152783683968066,0.03465499698790259
40,44,0.7071468022242955,0.24878875705174489,0.04406444072395963
45,49,0.6495925314843933,0.3010422086750616,0.049365259840545024
50,54,0.5655359203411312,0.3773457244928724,0.057118355165996296
55,59,0.4822145663837098,0.4310032660011076,0.08678216761518255
60,64,0.38510370870678917,0.4847893364584778,0.130106954834733
65,69,0.26873428921628656,0.5033449212573329,0.2279207895263806
70,74,0.19575059858552069,0.5056088441407178,0.2986405572737615
75,79,0.1295359904843334,0.4714877411454547,0.3989762683702119
80,84,0.08002327134899297,0.36921906272039884,0.5507576659306082
