start,end,Healthy,Care,Death
0,4,0.821027109202908,0.14976214681555006,0.029210743981541925
5,9,0.7979018706189327,0.18011462631394795,0.02198350306711927
10,14,0.8181800627810779,0.1691219311251779,0.012698006093744139
15,19,0.8688249497979799,0.1311750502020202,0.0
20,24,0.8373179182182771,0.14257666184348888,0.020105419938234174
25,29,0.7818058712371897,0.1858751261968106,0.032319002565999747
30,34,0.7660405087468171,0.19570001235061502,0.03825947890256784
35,39,0.7433607645357722,0.2233163331681414,0.03332290229608642
40,44,0.7116975786778996,0.25447525508883034,0.03382716623327001
45,49,0.647501830567526,0.30084911845822115,0.05164905097425284
50,54,0.5717504713010585,0.38025556324598975,0.04799396545295165
55,59,0.4801786902674565,0.44786122179072035,0.07196008794182314
60,64,0.3928395335527589,0.5025276355801411,0.10463283086709999
65,69,0.2845290469628359,0.5306477967803068,0.1848231562568573
70,74,0.1870940094064421,0.5254038257186175,0.28750216487494035
75,79,0.13855076373202815,0.48574156078848263,0.37570767547948924
80,84,0.08948234034274866,0.39574149887457766,0.5147761607826737
