start,end,Healthy,Care,Death
0,4,0.7854646337443907,0.2022906102810728,0.012244755974536411
5,9,0.7671267550326007,0.2199502299324517,0.012923015034947513
10,14,0.8170466019669759,0.17219752670876914,0.010755871324254923
15,19,0.8602269236968163,0.13441752735941684,0.005355548943766736
20,24,0.845123796753366,0.13988971995223223,0.014986483294401698
25,29,0.7916222451099497,0.17518921138523147,0.03318854350481874
30,34,0.7686040909289911,0.1848522626402797,0.04654364643072927
35,39,0.7581981864850259,0.19800537127223597,0.04379644224273812
40,44,0.7178641257426467,0.23142955092365358,0.05070632333369964
45,49,0.6711302471002887,0.270123301709495,0.058746451190216285
50,54,0.5811702168511563,0.33047240026685115,0.08835738288199249
55,59,0.4542007311131535,0.3688749365298883,0.17692433235695823
60,64,0.35817299532483854,0.4143503356155778,0.22747666905958364
65,69,0.2577814098977998,0.45189413094833697,0.2903244591538633
70,74,0.15957395946163996,0.45206076817866864,0.38836527235969137
75,79,0.10262579925650557,0.3830346971072524,0.514339503636242
80,84,0.06104790247915754,0.26026527315608916,0.6786868243647532
