,0~4,5~9,10~14,15~19,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~84
SUM,756.84098039,967.77750094,937.50882178,779.1797981999999,859.62606112,1180.73456414,1434.1640565100001,1834.0233499199999,2548.1368893500003,2928.1101801100003,3140.5050355300004,3631.73466812,4572.39970417,6727.222567260001,5551.8723022,5272.9089082,4495.4771973
Diabetes,0.0,1.99,1.93,5.08,10.1,16.807889743900002,31.2540002883,57.8960473444,141.91756640100002,212.426237573,300.438469753,433.39958500899996,663.69725743,1107.942185809,929.950781162,813.514840282,570.406071933
Thyroid Disease,5.51,5.96,5.78,12.2,18.94,26.67,46.5,68.47,91.11,107.7,118.61,126.72,155.96,210.43,171.65,146.32,98.32
Other Metabolic Disorders,0.7164063365,1.6183522941000001,3.4249764356,3.6062656447999997,10.540170863,14.2678897439,20.7780005766,65.62604734439999,173.30053984079998,265.4354125243,436.92461743830006,626.3247925047,876.0157524766,1309.601092904,980.8803905810001,734.166310558,471.410332912
Dementia,0.0,0.0,0.0,0.0,1.26,0.0,0.0,1.1,1.06,1.06,1.3546174383,4.524792504700001,13.188695549,30.065239861,57.977148197,137.4949228,247.05118526
Parkinson's Disease,0.0,0.0,0.0,0.0,1.26,0.0,0.0,0.0,1.06,1.2677062621000001,3.1673087191000002,8.1573962524,15.8357524766,27.324790539,34.454703046,56.565963618,56.228535334
Depression,6.942812673,24.278466059,46.209575840999996,71.37290675999999,115.98580934,185.72870771,229.77601989,298.46027253,340.97942564000004,350.52877728000004,283.49868334,256.5219278,238.01718822,315.97049826,239.4724986,217.50880477,173.59824255
Eye Diseases,26.45,58.2683522941,45.25,23.38,21.47,30.48,38.414000288299995,58.7630236722,110.58702656060001,143.1631187864,206.8519261574,301.3334906309,505.301504953,946.878488174,1028.580781162,1069.574840282,940.8198402319999
Ear Diseases,51.9791015841,39.75,17.33,14.23,10.1,20.32,26.4840002883,30.053023672200002,35.1635132803,50.8877062621,50.0173087191,63.167396252399996,90.2028762383,140.9736976348,160.6391171744,186.20778083390002,163.85786951030002
Hypertension,0.0,0.99,0.96,1.02,3.79,8.89,22.66,75.1,237.31,468.81,738.58,1103.13,1598.0314381191001,2662.1591317565,2218.4560781162,2040.0403744451999,1734.636231701
Stroke,0.0,0.0,0.0,1.02,2.53,1.27,4.3420008649,7.5620946888,21.308646083,32.019537767,47.533879012999996,79.084019426,108.750601506,231.11790538999998,213.78154625,248.3557542,220.74202422000002
Heart Disease,0.0,0.0,0.0,0.0,0.0,2.54,2.38,10.1730236722,22.8605398408,44.536237573,64.385778472,102.281773767,188.11732426400002,315.930673983,345.135484208,392.841899731,341.868535334
