,0~4,5~9,10~14,15~19,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~84
SUM,685.6194977900001,880.84205957,894.29489051,772.10709968,875.40070672,1155.96646683,1389.87991236,1786.3629687,2368.12623989,3203.1043395499996,3480.47285605,3782.07153192,4286.315813390001,5685.61866071,6356.569298099999,5797.4049923,4540.4492541
Diabetes,0.0,0.99,0.98,7.25,10.32,23.1,31.9473370932,68.5320052081,123.17301165309999,242.064855453,341.44883971779996,460.419773236,630.000587973,946.888776533,1116.9441761360001,890.5568124590001,601.021853776
Thyroid Disease,4.34,4.97,4.88,15.53,21.92,28.53,62.33,61.79,86.48,131.16,135.62,142.72,140.45,192.59,188.2,162.4939460208,118.880874151
Other Metabolic Disorders,0.4256860991,1.8417238769000002,3.2290342499999998,3.7239865624,5.6422436085,19.3266929986,30.7773370932,69.84401041609999,173.405341102,343.3886415898,457.52707177419995,705.3756171011,865.4103266517,1140.6334529774,1263.165653409,912.479190313,536.229231323
Dementia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,2.3835358871,3.5841561348,10.480653303,21.71381191,55.761051136,136.57827821,220.97510907
Parkinson's Disease,0.0,0.0,0.0,1.04,0.0,0.0,0.0,0.0,0.0,2.12,4.2517679436,6.1670780674,15.210261321399999,23.950647111000002,38.7984375,57.384164709000004,58.957588494999996
Depression,6.919901347,32.663791016000005,63.759376749999994,91.12763718,134.56403908000001,203.38779893999998,252.53555141,277.03442706,341.11211337,423.70257061999996,359.9871246,303.55936809,247.30770452000002,253.92639001999999,245.00343750000002,243.48093981,175.15182342
Eye Diseases,24.96,61.5117238769,34.18,20.71,30.95,27.17,44.69,57.6920052081,113.467670551,158.8862138633,251.3653038307,336.6041561348,472.63039198210004,815.568776533,1107.724872159,1177.0689204169998,918.974860568
Ear Diseases,42.32,37.79,21.48,7.25,11.61,15.2466929986,16.657337093200002,29.27,31.107670551000002,44.6562138633,53.201767943600004,72.9885390337,74.6201306607,118.41812942210001,159.9942613636,201.5478920417,177.5026224531
Hypertension,0.0,0.0,1.95,2.07,6.45,13.59,30.58,71.55,238.86,500.31,779.07,1150.52,1566.12,2191.2990647110996,2631.2671306818,2341.9518380625,1796.9243707552
Stroke,0.0,0.0,0.98,1.6539865624,1.7722436085,1.36,3.9246741865,6.3480208323,16.369034959,37.088063401999996,51.891270363,78.76010038199999,102.233397178,173.93956515,243.04201705,266.05082354,251.63182342
