,0~4,5~9,10~14,15~19,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~84
SUM,846.36063135,982.81665692,905.02682574,768.38323743,844.39963581,1212.30511111,1514.50888889,1986.5433598299999,2505.47588384,2650.36355546,3084.97541481,3642.88952538,5383.12731917,5727.85009929,5581.4571787,5090.7461572,4210.4679665
Diabetes,0.0,0.98,1.9,5.09,11.46,18.232994152,29.477482885700002,60.3167971855,135.37455297839998,191.773146064,312.895090557,470.62438337,792.427822774,934.7774723480001,858.426544428,739.879240167,491.31156192099996
Thyroid Disease,4.17,4.89,3.8,10.18,13.75,25.04,45.02,69.09,88.55,88.57,106.23,128.51,166.03,175.38,151.71,123.8239746722,83.9544577036
Other Metabolic Disorders,0.6479768025,2.408026813,4.312899085,5.6759889483,8.422622583899999,17.032994151999997,26.3149657715,76.6255990618,159.0784147338,241.4143820213,391.8157660327,607.4464896065999,1034.5292742580998,1109.6024907827,980.7521814759,734.0716707390001,439.450238664
Dementia,0.0,0.0,0.0,0.0,0.0,1.19,0.0,1.05,1.04,2.06,1.3228830164,4.3771916852,11.603532478,23.724599404,63.000929122,148.07516329,215.98009811999998
Parkinson's Disease,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,3.13,2.06,3.1464415082,7.9885958426000006,22.339274258099998,23.129272547,44.323499059,55.665012218,55.978427475000004
Depression,9.233930407999999,28.660134065,46.95899085,70.8017016,120.33703561,183.41467836,223.12114797,315.37269399,352.64053387,314.96191,274.88578085,245.48605538,283.98626301999997,246.30519285,248.46380346,216.61931347,167.46913286
Eye Diseases,27.08,62.6,46.59,22.4,26.36,33.39,40.51,59.8855990618,104.4161382446,134.3043820213,186.3157660327,284.85578752789996,559.600693665,807.62390882,1025.076976374,1102.243468117,844.009154071
Ear Diseases,64.78599226749999,47.664013406500004,21.87,10.18,12.61,13.12,21.5974828857,22.1955990618,35.6661382446,42.437191010599996,36.8964415082,64.0285958426,111.5657097033,145.996781764,163.4795680534,212.0019240167,157.2989154071
Hypertension,0.0,0.0,0.95,0.0,4.58,10.73,29.26,83.74,238.56,443.89,790.4064415082,1172.1792979212998,1970.7478548515999,2263.8878545093003,2183.3995680534,2067.0138480335,1596.204577036
Stroke,0.0,0.0,0.95,1.02,1.15,2.722994152,2.6849657715,9.447995309,25.627520691,30.716629202,50.496803737,71.518406459,153.49053328,228.17697958,258.5501522,288.46852921000004,268.55707241
Heart Disease,1.04,0.0,0.0,1.02,2.29,0.0,3.38,8.37,18.4484147338,35.8487640425,60.067973574,109.771575056,210.470661587,320.48781764,383.16743006400003,403.090910907,353.546138957
Other Cardiovascular Diseases,25.6379768025,21.2540134065,13.822899085,12.371977896999999,12.265245167900002,14.9959883041,13.9349657715,25.982396247300002,36.896829468,53.364719096,72.645090557,99.14157505600001,187.70280673599999,254.684599404,301.640043486,324.066429679,309.26673562
Acute Nasopharyngitis,167.56389174499998,54.5140134065,21.87,12.22,14.1526225839,14.31,22.51,31.4,28.13,20.6,17.87,21.26,30.19,33.6489272547,38.2765226845,34.9039746722,31.0189154071
Allergic Rhinitis,67.69,200.52,206.34,106.9,68.76,89.43,110.29,120.38,150.01,136.98,161.82,150.73,205.65,209.88,220.41,159.47,96.57
Asthma,108.163930408,158.64204022,95.602899085,48.87,25.21,51.27,65.27,92.12,97.1261382446,79.5071910106,88.5264415082,77.42929792129999,122.7578548516,115.1089272547,120.433045369,120.18192401670001,91.75783081430001
Other Respiratory Diseases,41.337899478000004,31.940067033000002,12.872899085,9.473955793,13.070490336,18.061976608000002,26.7499315429,34.577995309,44.186829468,44.710337073999995,53.951532064999995,74.98157505600001,124.886371291,158.023871951,165.846587914,185.53721395,177.02335190000002
Stomach and Duodenal Diseases,2.08,0.98,1.9,7.13,12.61,22.65,31.51,52.34,74.2061382446,99.0771910106,108.37644150819999,146.0292979213,232.4435645549,263.9857090187,282.8560907379,304.1538480335,240.8256616285
Liver and Gallbladder Diseases,3.12,0.98,2.85,2.04,1.15,8.35,11.4674828857,24.511198123699998,38.484552978400004,60.973146064,73.801532065,104.812277134,141.655677626,170.95747234799998,179.076544428,166.86321484,118.592646514
Dental Diseases,53.11,185.85,139.78,103.85,165.4326225839,213.772994152,274.8074828857,343.35,391.7,410.93,412.0,432.88,660.33,670.0089272547,646.0665226845,514.2839746722,313.05
Other Digestive Diseases,15.875953605,9.706053626,7.904348626999999,13.109944741,19.605735504000002,34.086947368,40.217345972,50.952787803999996,72.452073669,70.462247181,76.12306413099999,87.745256348,139.11921010400002,160.27065371499998,168.80570227799998,167.164505663,155.589750732
Skin Disease,260.5659922675,236.4540134065,174.01,172.64598894830002,191.8026225839,223.312994152,243.2974828857,252.7111981237,226.7984147338,202.48157303189998,173.2393245246,162.84719168520002,210.1871291098,234.08819980099997,227.52479489799998,216.383594756,166.033611775
Arthritis,0.0,1.96,1.9,1.02,3.44,11.92,22.51,47.099999999999994,83.58613824460001,112.46719101059999,134.1864415082,187.70859584259998,247.5335645549,275.5946362734,252.63565879139998,198.91782270570002,136.95011933199999
Arthropathy,0.0,0.98,13.31,9.16,12.61,17.89,25.88,44.1855990618,59.6261382446,103.4043820213,149.58576603269998,186.55438337,269.44425822000005,302.781763329,379.766112481,415.481164184,365.3448157
Other musculoskeletal Pain,0.0,0.98,20.92,51.92,103.5526225839,218.55299415199997,303.37244865720004,440.5123962473,503.350691223,552.035955053,614.0379735739999,651.831575056,912.8770970329999,1043.513181367,1329.881771272,1415.950910907,1139.512765846
Bone Density Abnormalities,0.0,0.0,0.0,0.0,0.0,0.0,1.13,2.09,4.17,11.33,12.91,44.579297921300004,133.1378548516,199.4489272547,359.92304536899996,428.49192401669995,404.6833731107
