,SUM,0~4,5~9,10~14,15~19,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~84,85~89,90~94,95~99,100~,Unknown
SUM,970331,4936,709,651,2313,3666,4712,5626,7063,10180,18336,37795,43460,58790,87413,116928,135711,145956,150967,97629,31167,5644,679
Diabetes,12147,0,1,2,7,12,16,41,63,99,212,556,659,928,1443,1708,1859,1954,1626,778,164,19,0
Thyroid Disease,278,3,0,0,2,3,8,6,15,8,12,14,14,10,16,16,28,39,47,29,6,2,0
Other Metabolic Disorders,4551,61,5,9,6,14,16,34,42,48,116,161,188,199,284,346,549,685,819,642,254,60,13
Dementia,4159,0,0,0,0,0,0,0,0,1,1,8,21,52,106,238,432,757,1131,970,364,78,0
Parkinson's Disease,2967,0,0,0,0,0,0,1,0,1,3,15,20,60,194,468,762,726,496,179,38,4,0
Depression,7213,149,45,46,106,120,164,164,132,190,260,521,527,666,910,1001,862,641,403,224,66,13,3
Eye Diseases,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,0,0,0
Ear Diseases,11,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,3,2,1,1,0,0,0
Hypertension,5857,0,0,0,2,0,2,5,9,23,23,97,86,137,245,407,612,938,1402,1267,510,91,1
Stroke,127839,20,13,11,31,50,105,233,459,845,1698,3493,3863,5306,8483,13222,18386,23241,26167,16574,4901,702,36
Heart Disease,148292,208,39,62,128,221,361,552,779,1093,2062,4231,4989,7242,10987,15823,20546,25009,27836,19161,5971,948,44
Other Cardiovascular Diseases,20582,11,2,6,10,24,46,82,99,167,280,619,711,1043,1637,2621,3512,3618,3522,1947,545,76,2
Acute Nasopharyngitis,1883,47,9,2,3,5,4,7,7,9,13,26,33,49,87,140,174,288,414,376,151,38,1
Allergic Rhinitis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asthma,4014,25,1,5,10,13,51,36,40,34,49,88,119,167,297,448,610,721,717,434,125,24,0
Other Respiratory Diseases,128108,263,40,39,60,68,81,134,178,219,443,974,1666,2944,6106,11754,18563,24988,30105,21043,7103,1322,15
Stomach and Duodenal Diseases,3969,4,0,1,4,6,4,14,13,25,74,144,140,225,343,414,559,615,708,500,153,18,5
Liver and Gallbladder Diseases,23513,30,2,2,7,12,44,118,292,584,1079,2110,2195,2755,3350,3181,2656,2106,1744,920,256,52,18
Dental Diseases,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0
Other Digestive Diseases,17835,97,11,9,16,28,41,61,94,123,225,453,507,793,1249,1848,2562,3032,3493,2358,714,118,3
Skin Disease,1632,12,5,2,3,4,3,8,8,19,18,36,51,81,132,166,217,254,304,195,92,22,0
Arthritis,1813,0,0,0,0,0,0,1,0,4,9,44,83,114,232,363,361,283,196,98,23,2,0
Arthropathy,43,0,0,0,0,0,0,0,0,0,0,2,3,1,2,2,2,6,7,11,6,1,0
Other musculoskeletal Pain,314,0,0,0,0,0,0,1,1,1,4,5,9,15,26,44,37,59,49,48,13,2,0
Bone Density Abnormalities,159,0,0,0,0,0,0,0,0,0,0,1,2,0,1,3,10,20,48,45,23,6,0
Kidney Diseases,22460,23,5,4,7,13,13,35,42,78,140,361,467,651,1294,2121,3098,4224,5173,3494,1045,168,4
Benign Prostatic Hyperplasia,125,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,15,29,40,22,10,2,0
Fractures,6829,59,47,34,266,364,370,266,251,198,279,447,421,396,427,472,517,567,637,519,232,37,23
Other Injuries,66302,591,243,191,1282,2205,2586,2546,2452,2757,3695,6132,5642,5351,5509,5818,5753,5397,4766,2320,618,65,383
Anemia and Blood Disorders,3860,42,8,3,19,20,24,30,21,40,54,104,143,201,287,429,580,642,654,413,123,23,0
Cancer,300658,111,122,138,217,315,537,997,1725,3232,6981,16059,19762,27690,41199,50074,47460,38743,29367,12931,2690,287,21
Pregnancy and Childbirth,79,0,0,0,2,6,15,24,25,3,1,0,1,0,2,0,0,0,0,0,0,0,0
Other Conditions,30682,3180,111,85,125,163,221,230,316,379,604,1092,1137,1706,2516,3590,4297,4248,3791,2107,594,85,107
Care Recipient,22145,0,0,0,0,0,0,0,0,0,0,0,0,5,48,205,688,2123,5301,8019,4377,1379,0
