,0~4,5~9,10~14,15~19,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~84
SUM,2958,453,467,1268,2423,2894,3909,6436,10124,14053,20581,31365,62932,82495,111419,161275,224159
Diabetes,0,0,5,1,11,11,14,47,98,154,228,385,894,1142,1476,2206,2621
Thyroid Disease,0,0,0,0,0,4,3,6,14,11,8,10,3,19,18,36,56
Other Metabolic Disorders,43,11,6,6,10,9,30,47,50,94,117,136,309,350,437,714,1259
Dementia,0,0,0,0,0,0,0,0,2,1,4,22,86,232,475,1235,3025
Parkinson's Disease,0,0,0,0,0,0,0,0,0,3,5,23,62,183,575,1298,1992
Depression,109,24,36,57,85,87,133,163,198,260,379,568,1086,1388,1832,2311,2389
Eye Diseases,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1
Ear Diseases,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,4,4
Hypertension,0,0,0,0,0,1,4,8,21,36,52,104,175,291,360,589,1082
Stroke,6,10,18,17,27,55,121,348,788,1178,1643,2388,4244,5809,8522,14086,21988
Heart Disease,115,22,25,51,112,179,320,635,1193,1761,2558,3822,7667,10026,14148,21997,34861
Other Cardiovascular Diseases,3,1,3,3,10,27,46,121,233,362,427,688,1272,1817,2447,3699,5629
Acute Nasopharyngitis,22,2,2,1,1,1,2,7,3,7,10,18,29,32,43,100,125
Allergic Rhinitis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asthma,4,0,2,1,4,7,6,14,14,24,22,34,48,71,111,211,301
Other Respiratory Diseases,192,37,20,37,48,69,86,148,245,358,675,1317,3590,6237,12179,23650,41207
Stomach and Duodenal Diseases,0,1,1,0,0,3,4,4,13,29,60,79,174,202,256,374,460
Liver and Gallbladder Diseases,17,1,2,5,9,18,54,171,467,761,1137,1453,2199,2415,2866,3677,3826
Dental Diseases,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,6
Other Digestive Diseases,113,14,8,11,25,25,39,86,127,201,281,465,937,1281,2009,3290,5264
Skin Disease,3,2,1,1,0,2,0,7,14,16,30,55,126,169,237,356,475
Arthritis,0,0,1,1,0,0,1,1,2,4,14,20,61,136,206,327,402
Arthropathy,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,3,17
Other musculoskeletal Pain,0,0,0,1,2,1,0,0,0,5,11,7,24,32,46,62,106
Bone Density Abnormalities,0,0,0,0,0,0,0,0,0,1,1,0,3,1,0,8,13
Kidney Diseases,9,4,3,2,6,6,13,35,53,123,202,311,824,1305,2234,4125,7003
Benign Prostatic Hyperplasia,0,0,0,0,0,0,0,0,0,0,0,0,1,3,11,14,26
Fractures,23,16,6,75,109,94,117,137,147,135,150,166,257,283,347,475,681
Other Injuries,220,112,174,765,1650,1800,2016,2533,2921,3047,3247,3374,4685,5028,5930,7273,8244
Anemia and Blood Disorders,24,6,5,6,5,5,16,16,24,42,50,77,183,238,382,657,891
Cancer,97,106,97,149,176,301,635,1496,2872,4691,8209,14260,30908,40213,49284,60465,65582
Pregnancy and Childbirth,0,0,0,0,2,8,10,15,2,0,0,0,0,0,2,0,1
Other Conditions,1958,84,52,78,131,181,239,390,622,748,1060,1582,3061,3497,4544,6397,8534
Care Recipient,0,0,0,0,0,0,0,0,0,0,0,0,23,93,432,1633,6088
