,0~4,5~9,10~14,15~19,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~84
SUM,2620,391,441,1166,2083,2480,3355,5195,9266,13925,19487,28339,48237,93542,107849,153048,223824
Diabetes,0,0,1,0,7,9,16,32,96,151,235,360,601,1185,1298,1939,2560
Thyroid Disease,0,0,1,0,3,3,2,5,8,11,12,10,10,13,20,34,61
Other Metabolic Disorders,36,5,3,8,12,20,24,55,59,107,102,154,254,411,462,799,1206
Dementia,0,0,0,0,0,0,0,0,3,0,6,20,76,272,576,1416,3617
Parkinson's Disease,0,0,0,0,0,0,0,0,0,2,11,27,73,241,572,1314,2170
Depression,86,37,37,56,79,83,117,126,213,297,426,568,951,1788,1935,2516,2878
Eye Diseases,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0
Ear Diseases,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2
Hypertension,0,0,0,0,0,0,9,7,16,41,50,91,149,290,333,486,989
Stroke,9,7,12,16,25,44,110,299,805,1173,1579,2092,3208,6085,7474,12140,19631
Heart Disease,81,16,19,45,108,156,248,496,1095,1819,2478,3490,5825,11296,13355,20443,33039
Other Cardiovascular Diseases,4,0,2,4,20,14,37,103,233,376,519,739,1075,2279,2557,3661,5593
Acute Nasopharyngitis,21,5,3,1,0,2,0,2,2,7,4,11,21,32,48,79,111
Allergic Rhinitis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asthma,4,1,0,1,0,2,4,13,18,20,22,28,41,74,83,145,236
Other Respiratory Diseases,165,34,32,31,40,58,84,135,253,401,666,1218,2907,7132,11960,22522,40145
Stomach and Duodenal Diseases,1,1,0,3,3,0,5,6,17,23,50,77,98,244,249,290,475
Liver and Gallbladder Diseases,19,3,3,4,6,10,57,132,402,727,1008,1344,1844,2581,2417,3084,3849
Dental Diseases,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,5
Other Digestive Diseases,94,19,9,16,19,29,36,57,146,223,309,436,735,1529,1945,3183,5199
Skin Disease,5,0,0,2,1,4,3,6,15,22,26,45,97,214,231,344,494
Arthritis,0,0,1,0,1,1,1,1,0,2,7,16,48,131,189,285,389
Arthropathy,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,9
Other musculoskeletal Pain,0,0,1,1,1,1,0,1,3,3,7,11,16,39,47,77,115
Bone Density Abnormalities,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,8,14
Kidney Diseases,9,5,4,5,4,9,12,26,59,105,179,295,668,1544,2111,3933,7210
Benign Prostatic Hyperplasia,0,0,0,0,0,0,0,0,0,0,0,1,2,5,7,12,21
Fractures,11,9,12,72,100,91,80,106,137,135,134,183,194,284,290,416,664
Other Injuries,195,80,147,707,1354,1454,1623,1905,2353,2665,2765,2875,3230,4899,5047,6464,7945
Anemia and Blood Disorders,24,3,4,7,6,4,8,17,26,46,59,63,138,290,332,515,920
Cancer,76,84,95,120,159,315,641,1326,2676,4754,7698,12608,23348,46022,48838,58331,67421
Pregnancy and Childbirth,0,0,0,0,2,8,13,5,6,0,0,0,0,0,1,0,0
Other Conditions,1780,82,54,67,133,163,225,334,625,815,1135,1576,2601,4514,4865,6547,9050
Care Recipient,0,0,0,0,0,0,0,0,0,0,0,0,25,142,602,2056,7806
