,mu1,mu2,mu3
01_Diabetes,0,0,0
02_Thyroid Disease,0,0,0
03_Other Metabolic Disorders,0,0,0
04_Dementia,0,0,0
05_Parkinson's Disease,0,0,0
06_Depression,0,0,0
07_Eye Diseases,0,0,0
08_Ear Diseases,0,0,0
09_Hypertension,0,0,0
10_Stroke,0,0,0
11_Heart Disease,0,0,0
12_Other Cardiovascular Diseases,0,0,0
13_Acute Nasopharyngitis,0,0,0
14_Allergic Rhinitis,0,0,0
15_Asthma,0,0,0
16_Other Respiratory Diseases,0,0,0
17_Stomach and Duodenal Diseases,0,0,0
18_Liver and Gallbladder Diseases,0,0,0
19_Dental Diseases,0,0,0
20_Other Digestive Diseases,0,0,0
21_Skin Disease,0,0,0
22_Arthritis,0,0,0
23_Arthropathy,0,0,0
24_Other musculoskeletal Pain,0,0,0
25_Bone Density Abnormalities,0,0,0
26_Kidney Diseases,0,0,0
27_Benign Prostatic Hyperplasia,0,0,0
28_Fractures,0,0,0
29_Other Injuries,0,0,0
30_Anemia and Blood Disorders,0,0,0
31_Cancer,0,0,0
32_Pregnancy and Childbirth,0,0,0
33_Other Conditions,0,0,0
34_Care Recipient,0,0,0
