,beta1,beta2,beta3
01_Diabetes,-1.86e-05,0.001383667,0.006414889
02_Thyroid Disease,5.46e-05,0.000743744,0.000595543
03_Other Metabolic Disorders,-0.000169262,0.00208959,0.008764261
04_Dementia,1.53e-05,-5.06e-05,0.000156539
05_Parkinson's Disease,0.0,0.0,0.00025
06_Depression,0.001435572,0.002249779,0.000136936
07_Eye Diseases,-0.000214841,0.001001297,0.005971408
08_Ear Diseases,-0.000551676,5.96e-05,0.000524541
09_Hypertension,-0.000107583,0.002837725,0.016798826
10_Stroke,2.97e-05,0.000127505,0.001230517
11_Heart Disease,3.96e-05,0.000152746,0.001810903
12_Other Cardiovascular Diseases,-7.26e-05,0.000225456,0.001008737
13_Acute Nasopharyngitis,-0.00167395,0.000203963,0.000121523
14_Allergic Rhinitis,0.000943492,0.000913409,0.001706123
15_Asthma,-0.000724323,0.000600945,0.000805986
16_Other Respiratory Diseases,-0.000475966,0.000205519,0.001356612
17_Stomach and Duodenal Diseases,2.02e-05,-0.000110264,0.000172329
18_Liver and Gallbladder Diseases,-0.000108145,0.000250115,0.000274277
19_Dental Diseases,-5.47e-05,0.000698535,0.00261276
20_Other Digestive Diseases,-5.98e-05,0.000495919,0.000733151
21_Skin Disease,-0.000989664,0.000898711,0.000673867
22_Arthritis,-7.2e-05,0.000806131,0.002044838
23_Arthropathy,3.29e-05,0.000550822,0.001551137
24_Other musculoskeletal Pain,9.12e-05,0.000879471,0.000499224
25_Bone Density Abnormalities,-1.92e-05,2.54e-05,0.002264022
26_Kidney Diseases,0.000107981,0.00015901,0.00112383
27_Benign Prostatic Hyperplasia,3.55e-05,2.08e-05,0.001641064
28_Fractures,9.61e-05,4.4e-05,0.000232403
29_Other Injuries,8.52e-05,-5.56e-05,0.000531007
30_Anemia and Blood Disorders,-3.38e-05,0.000172004,5.09e-05
31_Cancer,4.43e-06,0.000363744,0.002893002
32_Pregnancy and Childbirth,4.95e-05,-0.000132912,-1.04e-05
33_Other Conditions,0.000787163,0.002188887,0.000402178
34_Care Recipient,-1.23e-05,0.000418724,0.001897119
