,mu1,mu2,mu3
01_Diabetes,0.0,0.0,0.000408108
02_Thyroid Disease,0.0,0.0,3.83e-05
03_Other Metabolic Disorders,0.0,0.0,9.61e-05
04_Dementia,0.0,0.0,0.000440599
05_Parkinson's Disease,0.0,0.0,0.008409074
06_Depression,0.0,0.0,0.000713648
07_Eye Diseases,0.0,0.0,0.0
08_Ear Diseases,0.0,0.0,0.0
09_Hypertension,0.0,0.0,2.49e-05
10_Stroke,0.0,0.0,0.006492308
11_Heart Disease,0.0,0.0,0.00639836
12_Other Cardiovascular Diseases,0.0,0.0,0.001351452
13_Acute Nasopharyngitis,0.0,0.0,0.000190317
14_Allergic Rhinitis,0.0,0.0,0.0
15_Asthma,0.0,0.0,0.000279583
16_Other Respiratory Diseases,0.0,0.0,0.007936099
17_Stomach and Duodenal Diseases,0.0,0.0,0.000167824
18_Liver and Gallbladder Diseases,0.0,0.0,0.003780266
19_Dental Diseases,0.0,0.0,0.0
20_Other Digestive Diseases,0.0,0.0,0.00191531
21_Skin Disease,0.0,0.0,9.57e-05
22_Arthritis,0.0,0.0,0.000114795
23_Arthropathy,0.0,0.0,0.0
24_Other musculoskeletal Pain,0.0,0.0,3.11e-06
25_Bone Density Abnormalities,0.0,0.0,0.0
26_Kidney Diseases,0.0,0.0,0.001873358
27_Benign Prostatic Hyperplasia,0.0,0.0,0.0
28_Fractures,0.0,0.0,0.001483341
29_Other Injuries,0.0,0.0,0.035786789
30_Anemia and Blood Disorders,0.0,0.0,0.000898407
31_Cancer,0.0,0.0,0.069180308
32_Pregnancy and Childbirth,0.0,0.0,0.0
33_Other Conditions,0.0,0.0,0.001788818
34_Care Recipient,0.0,0.0,2.09e-05
