,beta1,beta2,beta3
01_Diabetes,1.98e-05,0.001061932,0.005064808
02_Thyroid Disease,0.00015577,0.000603658,0.000800155
03_Other Metabolic Disorders,-6.65e-05,0.001532277,0.005977631
04_Dementia,0.0,0.0,0.00025
05_Parkinson's Disease,-8.41e-06,-2.03e-05,0.000104633
06_Depression,0.000463992,0.001081276,4.01e-05
07_Eye Diseases,-8.44e-05,0.000594708,0.006503792
08_Ear Diseases,-0.000835598,0.000355767,0.000491345
09_Hypertension,4.54e-06,0.002100414,0.012213517
10_Stroke,-1.18e-05,0.000142981,0.000518708
11_Heart Disease,-5.01e-05,0.000265598,0.001477828
12_Other Cardiovascular Diseases,1.85e-05,0.000237787,0.002290849
13_Acute Nasopharyngitis,-0.001791611,0.000175699,-1.86e-05
14_Allergic Rhinitis,0.000514221,0.000350383,0.000532704
15_Asthma,-0.001902114,0.000149995,0.000452906
16_Other Respiratory Diseases,-0.000431835,0.000288685,0.001264961
17_Stomach and Duodenal Diseases,2.27e-05,0.000269388,0.000380082
18_Liver and Gallbladder Diseases,-9.24e-05,0.000192624,0.000132761
19_Dental Diseases,0.000388743,0.00147379,0.003703929
20_Other Digestive Diseases,5.67e-05,0.000285279,0.001248665
21_Skin Disease,-0.000612959,0.000451094,0.000704629
22_Arthritis,-3.86e-05,0.000558747,0.000963974
23_Arthropathy,0.000182796,0.000160622,0.000576818
24_Other musculoskeletal Pain,0.000752506,0.000466768,0.001462127
25_Bone Density Abnormalities,3.71e-05,-8.38e-06,0.002436713
26_Kidney Diseases,-0.000132716,0.000174897,0.000665638
27_Benign Prostatic Hyperplasia,-1.38e-05,7.86e-05,0.001163195
28_Fractures,9.97e-05,-6.86e-05,0.000649887
29_Other Injuries,0.000786245,-0.000405755,0.000337132
30_Anemia and Blood Disorders,9.65e-05,0.000274228,-0.000348038
31_Cancer,9.46e-05,0.000269238,0.002168269
32_Pregnancy and Childbirth,0.000108314,-0.000145544,-4.1e-05
33_Other Conditions,0.000113586,0.001465793,-0.000692796
34_Care Recipient,-7.41e-05,0.000217387,0.001218915
