,beta1,beta2,beta3
01_Diabetes,-2.78e-05,0.001040907,0.005858238
02_Thyroid Disease,1.15e-05,0.000513248,0.000817968
03_Other Metabolic Disorders,-9.7e-05,0.00094933,0.008788205
04_Dementia,1.05e-05,-1.68e-05,0.000312461
05_Parkinson's Disease,-1.33e-05,1.8e-05,0.00096607
06_Depression,0.001032274,0.001309047,-0.001729984
07_Eye Diseases,0.00323525,0.002027632,0.010649065
08_Ear Diseases,-0.002165407,0.000416287,0.00124175
09_Hypertension,-0.000205632,0.002673519,0.015077176
10_Stroke,1.65e-06,0.000101232,0.001955337
11_Heart Disease,1.33e-05,0.000158141,0.00174372
12_Other Cardiovascular Diseases,-8.76e-05,3.06e-05,0.000948715
13_Acute Nasopharyngitis,-0.002917984,-3.65e-06,3.64e-05
14_Allergic Rhinitis,-4.86e-05,0.000363767,0.00055473
15_Asthma,-0.001659082,-1.68e-05,0.000119724
16_Other Respiratory Diseases,-0.000662047,8.34e-05,0.001201591
17_Stomach and Duodenal Diseases,9.31e-05,-0.000296967,-0.00117539
18_Liver and Gallbladder Diseases,-3.33e-05,0.000416107,0.000918515
19_Dental Diseases,-0.004711863,-0.006472809,-0.010446881
20_Other Digestive Diseases,-0.000160739,-0.000250622,0.000606159
21_Skin Disease,0.000193794,0.000805921,0.001886415
22_Arthritis,3.32e-05,0.00036175,0.000614196
23_Arthropathy,0.00015248,7.43e-05,0.000976834
24_Other musculoskeletal Pain,0.000497066,0.003352276,0.004507799
25_Bone Density Abnormalities,4.31e-05,4.34e-05,0.002058644
26_Kidney Diseases,-1.95e-05,0.00018049,0.000845539
27_Benign Prostatic Hyperplasia,1.96e-05,7.38e-05,0.002054908
28_Fractures,0.000221811,-0.000234707,0.000197249
29_Other Injuries,0.000724441,-0.000161169,0.000427566
30_Anemia and Blood Disorders,-1.86e-05,-3.93e-06,-0.000133203
31_Cancer,-6.39e-05,0.00023609,0.001031164
32_Pregnancy and Childbirth,2.93e-05,-0.000617359,4.15e-05
33_Other Conditions,-0.005010236,-0.000933968,-0.002169938
34_Care Recipient,-3.89e-05,0.00129511,0.005604051
