,beta1,beta2,beta3
01_Diabetes,-0.000128038,0.000974784,0.007365295
02_Thyroid Disease,3.91e-05,0.000388405,0.001008441
03_Other Metabolic Disorders,-0.000162401,0.001244469,0.004414299
04_Dementia,4.7e-06,-6.88e-05,0.000450262
05_Parkinson's Disease,7.13e-06,7.84e-07,6.14e-05
06_Depression,0.000233971,0.002066976,0.001920782
07_Eye Diseases,-8.41e-05,-4.03e-05,0.00371636
08_Ear Diseases,-0.000681861,-8.74e-05,0.000760536
09_Hypertension,-0.000345572,0.001593325,0.01886144
10_Stroke,-8.12e-05,0.000128219,0.001569498
11_Heart Disease,-3.36e-05,-6.29e-05,0.003285706
12_Other Cardiovascular Diseases,-0.000132737,0.00029489,0.002394692
13_Acute Nasopharyngitis,-0.003538764,-0.000319458,-0.000223349
14_Allergic Rhinitis,0.002035207,-0.000121125,0.000475326
15_Asthma,0.000265988,-3.01e-05,0.000959293
16_Other Respiratory Diseases,-0.000743609,-0.000124736,0.000527891
17_Stomach and Duodenal Diseases,-2.67e-05,-0.000376383,9.2e-05
18_Liver and Gallbladder Diseases,-3.25e-05,4.88e-05,0.000720563
19_Dental Diseases,0.001659857,0.001617859,0.005748011
20_Other Digestive Diseases,8e-06,0.000219019,-0.000411658
21_Skin Disease,-0.000888306,0.000527464,0.000210628
22_Arthritis,-8.23e-05,0.000762048,0.002502696
23_Arthropathy,0.000101738,0.000409252,0.003000136
24_Other musculoskeletal Pain,-0.000124564,0.003089331,0.008591388
25_Bone Density Abnormalities,-4.55e-05,-6.72e-06,0.001660768
26_Kidney Diseases,2.09e-06,-2.19e-05,0.000319848
27_Benign Prostatic Hyperplasia,-1.15e-05,-6.57e-05,0.002117266
28_Fractures,0.000185927,6.79e-05,0.000238589
29_Other Injuries,0.000525631,-0.000417928,0.0002351
30_Anemia and Blood Disorders,9.3e-05,0.00020416,-0.000286244
31_Cancer,8.95e-06,0.000222843,0.003443386
32_Pregnancy and Childbirth,0.0,0.0,0.0
33_Other Conditions,0.001961301,0.002766375,0.002361192
34_Care Recipient,3.56e-05,0.000314107,0.002849243
