start,end,Healthy ,Care ,Death 
0,4,0.797519105,0.184166141,0.018314754
5,9,0.787709719,0.199929107,0.012361174
10,14,0.821382096,0.165993929,0.012623975
15,19,0.865794499,0.132173681,0.002031819
20,24,0.849880614,0.131173203,0.018946183
25,29,0.783641047,0.163936885,0.052422068
30,34,0.772095174,0.180654498,0.047250328
35,39,0.746800463,0.201887788,0.051311749
40,44,0.708238902,0.241082003,0.050679095
45,49,0.657522829,0.283839875,0.058637296
50,54,0.587721608,0.338059728,0.074218664
55,59,0.483898673,0.389643105,0.126458222
60,64,0.355578193,0.425361245,0.219060562
65,69,0.270049122,0.475596925,0.254353953
70,74,0.167676234,0.480256927,0.352066839
75,79,0.090942616,0.432985894,0.47607149
80,84,0.044466596,0.32966935,0.625864054
